id,title,body,department,sentiment
248,Pesce puzzolente,"Branzino con odore sospetto, non abbiamo nemmeno assaggiato, ristorante in difficoltà.",F&B,negative
249,Bar dell hotel deserto per motivi ovvi,"Cocktail dosati con il contagocce, barman senza voglia di lavorare.",F&B,negative
250,Colazione che finisce alle nove,"Chi dorme un po di più salta il pasto, orari da caserma per un hotel di vacanza.",F&B,negative
251,Cena disastrosa con prezzi pessimi,"Il più brutto pasto mai fatto in hotel in trent anni di viaggi, vero record negativo.",F&B,negative
252,Cucina lenta e imprecisa,"Tre ordini sbagliati su cinque, attesa infinita, scuse inesistenti.",F&B,negative
253,Qualità ingredienti al minimo,"Verdure lesse dal sapore di acqua, salumi del discount, formaggi di basso livello.",F&B,negative
254,Porzioni offensive,"Piatto unico con due fettine di carne e cinque patatine, cifra da ristorante stellato.",F&B,negative
255,Insetti nei piatti,"Un moscerino nell insalata e un ape nello zucchero, situazione igienica da incubo.",F&B,negative
256,Bar spento,"Niente atmosfera niente musica niente clienti, capisco perché evitano tutti il locale interno.",F&B,negative
257,Servizio in camera mai arrivato,"Ordinato alle otto arrivato alle dieci freddo, chiamato tre volte senza risposta.",F&B,negative
258,Gelato industriale spacciato per artigianale,"Si capiva al primo assaggio, tutto il contrario di quanto promesso.",F&B,negative
259,Piatto di pasta scotta e fredda,"Doppia sconfitta contemporanea, non pensavo fosse possibile, talento al contrario.",F&B,negative
260,Colazione senza pane fresco,"Solo fette biscottate e cracker, il forno dell hotel è evidentemente chiuso.",F&B,negative
261,Cucina che non rispetta le allergie,"Avvisati del glutine, servito piatto contaminato, grave errore di cucina.",F&B,negative
262,Ristorante chiuso quando serve,"Rientrato tardi dalla spiaggia, cucina chiusa alle venti e trenta, soluzione zero.",F&B,negative
263,Pasticcere assente,"Dolci comprati al supermercato e rivenduti a prezzo alto, una presa in giro.",F&B,negative
264,Servizio distratto e disinteressato,"Camerieri chiacchierano tra loro invece di servire i tavoli, vergognoso.",F&B,negative
265,Cucina insipida,"Tutto senza sale, senza pepe, senza amore, insapore totale.",F&B,negative
266,Tavolo sporco al nostro arrivo,"Briciole e bicchieri usati dal tavolo precedente, hanno dovuto rifare tutto davanti a noi.",F&B,negative
267,Acqua del rubinetto fatta pagare come minerale,"Trucchetto meschino, ci siamo accorti solo leggendo il conto.",F&B,negative
268,Cena fredda,Doppio sconto meritato per la pasta fredda e la bistecca raffreddata.,F&B,negative
269,Buffet poco curato,"Stesso cibo per tre giorni consecutivi, evidente riutilizzo delle rimanenze.",F&B,negative
270,Carne dura e stopposa,"Cottura sbagliata, scelta ingredienti pessima, piatto rovinato a priori.",F&B,negative
271,Prezzo della carta dei vini vergognoso,"Bottiglia da supermercato a sessanta euro, speculazione evidente.",F&B,negative
272,Servizio snob e supponente,"Camerieri che guardano dall alto in basso, atteggiamento offensivo senza motivo.",F&B,negative
273,Insalata con foglie appassite,"Direttamente dal frigorifero della settimana scorsa, colori spenti e foglie molli.",F&B,negative
274,Cucina scoperta completamente inadeguata,"Vista sulla cucina che mostra una scena da incubo, meglio non vedere.",F&B,negative
275,Pane duro come un sasso,"Servito con una settimana di ritardo rispetto alla cottura, impossibile masticarlo.",F&B,negative
276,Colazione cinese per turisti,"Zero autenticità, tutto industriale, piatti pensati per non sbagliare ma sbagliati comunque.",F&B,negative
277,Pessimo rapporto qualità prezzo,"Mille euro a settimana e nemmeno un pasto decente, non torneremo mai.",F&B,negative
278,Bambini ignorati al ristorante,"Nessun menu per loro, nessuna attenzione alle loro esigenze, famiglia trascurata.",F&B,negative
279,Dolce finito alle venti,"Finiti i dolci del buffet già a metà servizio, zero previsione di riassortimento.",F&B,negative
280,Cena conclusa con problema allo stomaco,"Sospetto ingrediente guasto, serata rovinata e vacanza a rischio.",F&B,negative
281,Cameriere che sparisce,"Ordinato un caffè e mai portato, conto richiesto tre volte senza risposta.",F&B,negative
282,Cucina vecchio stile senza aggiornamenti,"Menu fermo agli anni ottanta, nulla di creativo o interessante per il palato moderno.",F&B,negative
283,Camera sporchissima,"Lenzuola con macchie sospette, peli nel bagno, pavimento appiccicoso, inaccettabile.",Housekeeping,negative
284,Pulizia scadente,"Non puliscono sotto i mobili da mesi, polvere ovunque, camera mai igienizzata davvero.",Housekeeping,negative
285,Stanza con odore di chiuso,"Muffa evidente nell armadio, tappeti umidi, aria irrespirabile a finestre chiuse.",Housekeeping,negative
286,Servizio ai piani inesistente,"Cameriera vista una volta in cinque giorni, pulizie saltate e asciugamani mai cambiati.",Housekeeping,negative
287,Biancheria sporca,"Lenzuola con macchie gialle, federe con capelli, asciugamani che puzzano di umido.",Housekeeping,negative
288,Bagno disgustoso,"Muffa nella doccia, rubinetti incrostati di calcare, tappeto del bagno umido e puzzolente.",Housekeeping,negative
289,Cameriera ai piani maleducata,Ha battuto forte la porta e ha borbottato insulti quando ha visto la stanza in disordine.,Housekeeping,negative
290,Pulizie fatte male,"Aspirapolvere passato a metà, polvere sui ripiani, bagno sciacquato alla buona.",Housekeeping,negative
291,Stanza mai veramente pulita,"In cinque giorni hanno solo rifatto i letti, zero pulizia profonda.",Housekeeping,negative
292,Cambio biancheria dimenticato,"Chiesto più volte il cambio delle lenzuola, mai avvenuto, disinteresse totale dello staff.",Housekeeping,negative
293,Muffa visibile in bagno,"Angoli della doccia neri di muffa, condizione igienica preoccupante.",Housekeeping,negative
294,Bagno con calcare ovunque,"Sanitari gialli dal calcare, rubinetti biancastri, pulizia da saltare completamente.",Housekeeping,negative
295,Moquette macchiata e puzzolente,"Macchie vecchie mai trattate, odore acidulo, mai sottoposta a pulizia profonda.",Housekeeping,negative
296,Stanza con polvere ovunque,"Ripiani tavolini televisore tutti coperti di polvere, evidente trascuratezza.",Housekeeping,negative
297,Asciugamani sporchi e maleodoranti,"Profumo di chiuso e umidità, consistenza rigida come cartone.",Housekeeping,negative
298,Pulizie approssimative,"Spolverata volante al mattino e basta, cambio lenzuola zero, bagno sciacquato male.",Housekeeping,negative
299,Federe con capelli altrui,"Appena disfatto il letto abbiamo trovato capelli lunghi non nostri, schifo totale.",Housekeeping,negative
300,Governante scortese,"Signora che borbottava a ogni richiesta, atteggiamento passivo aggressivo continuo.",Housekeeping,negative
301,Bagno con zampironi morti,"Ho trovato insetti secchi sul pavimento, zone meno frequentate mai pulite.",Housekeeping,negative
302,Pulizie rumorose di mattina presto,"Alle sette del mattino cameriere urlanti nei corridoi, impossibile dormire.",Housekeeping,negative
303,Tappeti non aspirati,"Si vedevano le briciole degli ospiti precedenti, pulizia profonda dimenticata.",Housekeeping,negative
304,Bagno condiviso con blatte,"Scarafaggio uscito dallo scarico del lavandino, abbiamo traslocato stanza subito.",Housekeeping,negative
305,Materasso sospetto,"Macchie gialle visibili una volta tolte le lenzuola, igiene insopportabile.",Housekeeping,negative
306,Stanza che profuma di fumo stantio,"Residuo di ospiti che hanno fumato dentro, filtro aria evidentemente mai pulito.",Housekeeping,negative
307,Cuscini sporchi,"Rimosse le federe per controllare, cuscini neri di sudore, mai lavati davvero.",Housekeeping,negative
308,Camere non aerate,"Non aprono mai le finestre durante le pulizie, aria chiusa per giorni.",Housekeeping,negative
309,Bagno con capelli nello scarico,"Residui degli ospiti precedenti nel doccino, standard igienico zero.",Housekeeping,negative
310,Servizio lavanderia lentissimo,"Chiesto lavaggio urgente, riconsegnato dopo tre giorni, inutile per un soggiorno breve.",Housekeeping,negative
311,Pulizie dimenticate nel weekend,"Sabato e domenica la cameriera non è proprio passata, zero informazione preventiva.",Housekeeping,negative
312,Stanza con polvere sulle lampade,"Lampadari coperti di polvere visibile, evidente trascuratezza delle pulizie.",Housekeeping,negative
313,Bagno con piastrelle rotte e non sostituite,"Stanza vecchia dove nessuno ha mai fatto manutenzione, sporcizia incrostata.",Housekeeping,negative
314,Asciugamani contati al centimetro,"Due asciugamani piccoli per due persone per un intero soggiorno, ridicolo.",Housekeeping,negative
315,Pulizia solo di facciata,"Superfici visibili pulite, angoli e sotto i mobili mai toccati, lavoro superficiale.",Housekeeping,negative
316,Cambio biancheria settimanale al massimo,"Una volta a settimana? Non al Ritz non funziona così, vergognoso per un hotel a quattro stelle.",Housekeeping,negative
317,Servizio ai piani ostile,Cameriera entrata senza bussare e scocciata per averci trovato in camera.,Housekeeping,negative
318,Lenzuola strappate,"Bordi tagliati e rammendati malamente, tessuti evidentemente fine vita.",Housekeeping,negative
319,Camera sporca al check in,"Ancora da pulire dagli ospiti precedenti, rifiuti nel cestino, letto disfatto.",Housekeeping,negative
320,Bagno puzzolente di scarico,"Odore pungente di fogna dai sanitari, aerazione inesistente.",Housekeeping,negative
321,Cura del piano zero,"Corridoio con polvere aspirapolvere rotto, segnali evidenti di trascuratezza generale.",Housekeeping,negative
322,Pulizie invasive,"Cameriera che tocca e sposta le cose personali, mancanza di rispetto totale.",Housekeeping,negative
323,Sporcizia sotto il letto,"Cartacce e bustine di caramelle dimenticate, chiaramente non pulivano da tempo.",Housekeeping,negative
324,Piatto di pulizia scarsa,"Minibar con bottiglie sporche appiccicose, evidentemente non lo aprono da mesi.",Housekeeping,negative
325,Asciugamani mai cambiati,"In sette giorni mai sostituiti, puzzavano di umido e sudore, ridicolo.",Housekeeping,negative
326,Coperte con peli di animali,"Chiaramente la stanza ha ospitato cani, coperte piene di peli biondi, allergia totale.",Housekeeping,negative
327,Stanza non igienizzata post covid,"Nulla di sanificato, zero prodotti disinfettanti, solo riordinata alla bell e meglio.",Housekeeping,negative
328,Bagno puzzolente di chiuso,"Asciugamani umidi mai sostituiti, pavimento sempre bagnato, ricetta perfetta per la muffa.",Housekeeping,negative
329,Servizio ai piani che ruba,"Mancano dieci euro dal comodino, denunciato alla reception senza risposta, sensazione pessima.",Housekeeping,negative
330,Stanza stile anni settanta,"Arredo fuori moda ma soprattutto sporco, materassi cigolanti e pulizia inesistente.",Housekeeping,negative
331,Tende polverose,"Evidente non pulite da mesi, ambiente poco salubre soprattutto per allergici.",Housekeeping,negative
332,Pavimento appiccicoso,"Qualunque bevanda cadeva non veniva pulita per giorni, zero attenzione.",Housekeeping,negative
333,Cuscini duri e sporchi,"Sembravano cuscini da caserma, scomodi e non privi di macchie sospette.",Housekeeping,negative
334,Pulizia settimanale dichiarata quotidiana,"Reception dice pulizie tutti i giorni ma non è vero, tre volte a settimana.",Housekeeping,negative
335,Cameriera ai piani scordata,"Nessuno è mai venuto a pulire dopo il secondo giorno, richiesta ignorata.",Housekeeping,negative
336,Bagno con lavandino intasato,"Scarico lento e maleodorante, problema segnalato e mai risolto, vacanza rovinata.",Housekeeping,negative
337,Lenzuola dal cattivo odore,"Profumo di muffa al posto di detersivo fresco, lavaggio sospetto o assente.",Housekeeping,negative
338,Pulizie finite ma non iniziate,Stanza giudicata pulita dalla governante ma polvere ovunque evidente.,Housekeeping,negative
339,Bagno con sporcizia incrostata,"Doccia e scarichi con residui che nessuno ha mai tolto, serve una bomba atomica.",Housekeeping,negative
340,Servizio di maid inesistente,"Dopo il terzo giorno abbiamo rinunciato a chiedere, semplicemente non c era nessuno.",Housekeeping,negative
341,Stanza con pessima ventilazione,"Bagno senza finestra e ventola rotta, umidità che creava un bagno turco permanente.",Housekeeping,negative
342,Asciugamani che sembrano carta vetrata,"Ruvidi e puzzolenti, lavati con prodotti scadenti, danneggiati dal cloro.",Housekeeping,negative
343,Minibar con prodotti scaduti,"Cioccolato scaduto da sei mesi e soft drink piatti, pulizia della cella zero.",Housekeeping,negative
344,Stanza con scarafaggi morti,"Pulizie evidentemente saltuarie, insetti trovati sotto il letto in numero preoccupante.",Housekeeping,negative
345,Biancheria che sembra usata,"Lenzuola con pieghe evidenti e odore di corpo, mai sostituite davvero.",Housekeeping,negative
346,Pulizie fatte a scorno dell ospite,"Cameriera che sbuffa quando trova la stanza in disordine, atteggiamento inaccettabile.",Housekeeping,negative
347,Polvere ovunque dopo le pulizie,"Evidentemente un lavoro frettoloso, passata solo la superficie e niente altro.",Housekeeping,negative
348,Cuscino con macchia sospetta,"Tolta la federa ho trovato macchie gialle evidenti, cuscini mai lavati da mesi.",Housekeeping,negative
349,Stanza con odore di umido cronico,"Muffa alle pareti dietro al letto, condizione pessima per chi ha problemi respiratori.",Housekeeping,negative
350,Asciugatura insufficiente bagno,"Sempre bagnato il pavimento perché ventola rotta, pericolo scivolamento continuo.",Housekeeping,negative
351,Stanza con mobili rotti mai riparati,"Cassetti che non chiudono, sedia traballante, governante ignora i problemi strutturali.",Housekeeping,negative
352,Check in interminabile,"Un ora e quaranta in coda, reception con una sola persona in alta stagione, assurdo.",Reception,negative
353,Reception scortese,"Ragazzo della reception maleducato, rispondeva a monosillabi, atteggiamento irritante.",Reception,negative
354,Personale poco preparato,"Non sapevano darci informazioni base sulla città, hanno mandato noi a cercare su google.",Reception,negative
355,Prenotazione persa,"Arrivati con conferma ma nessuna stanza, una lotta di trenta minuti per avere camera.",Reception,negative
356,Check out difficile,"Errore sul conto, discussione di mezz ora per farci togliere voci non dovute.",Reception,negative
357,Reception disinteressata,"Ragazza dietro al banco che guardava il telefono mentre la coda cresceva, pessimo esempio.",Reception,negative
358,Receptionist sgarbato,"Tono passivo aggressivo continuo, sembrava infastidito da ogni nostra domanda.",Reception,negative
359,Attesa infinita per il check in,"Arrivati alle 15 come da regola, stanza pronta alle 18, nessuna scusa offerta.",Reception,negative
360,Informazioni sbagliate,"Ci hanno indicato un ristorante chiuso da due anni, zero aggiornamento.",Reception,negative
361,Reception poco presidiata di notte,"Suonato il campanello mezz ora prima che arrivasse qualcuno, in piena notte.",Reception,negative
362,Upgrade negato senza motivo,"Prenotato junior suite, assegnata standard, motivazione inesistente, lamentela ignorata.",Reception,negative
363,Receptionist maleducato al telefono,"Risposto malamente per una semplice domanda, toni scortesi ingiustificati.",Reception,negative
364,Sistema informatico rotto,"Hanno dovuto fare tutto a mano per mezz ora, stanze non assegnate in tempo.",Reception,negative
365,Staff che non parla inglese,"In un hotel internazionale è imbarazzante, clienti stranieri abbandonati a se stessi.",Reception,negative
366,Check out con sorprese,"Aggiunte voci non concordate, costretti a discutere venti minuti per rimuovere costi fantasma.",Reception,negative
367,Reception chiusa di notte,"Dalle 23 alle 7 nessuno, chiavi perse nessun aiuto fino al mattino, inaccettabile.",Reception,negative
368,Prenotazione doppia,"Hanno assegnato la stessa stanza a noi e ad un altra coppia, imbarazzo totale al check in.",Reception,negative
369,Navetta aeroporto mai arrivata,"Ordinata dalla reception, noi abbiamo aspettato un ora e mezza prima di prendere taxi.",Reception,negative
370,Errori continui sulla fattura,"Ogni voce sbagliata o doppia, abbiamo controllato tutto con la lente, fastidioso.",Reception,negative
371,Personale reception senza competenze,"Sembrava la loro prima giornata, ogni operazione faticosa e lentissima.",Reception,negative
372,Informazioni contraddittorie,"Ogni persona diceva cose diverse, zero coordinamento interno, confusione totale.",Reception,negative
373,Cortesia zero,"Nessun sorriso, nessun benvenuto, trattamento da numero e non da ospite.",Reception,negative
374,Richieste ignorate,"Chiesto un altro cuscino tre volte, mai arrivato, stessa cosa per il ferro da stiro.",Reception,negative
375,Check in discriminatorio,"Hanno fatto attendere noi mentre servivano altri arrivati dopo, sensazione sgradevole.",Reception,negative
376,Reception che non risponde al telefono,"Chiamato venti volte per info, sempre occupato, impossibile parlare con qualcuno.",Reception,negative
377,Staff maleducato con clienti stranieri,"Rispondeva con tono insofferente a chi non capiva l italiano, vergognoso.",Reception,negative
378,Prenotazione camera per disabili dimenticata,"Arrivati con sedia a rotelle, stanza senza accessibilità, zero soluzioni immediate.",Reception,negative
379,Receptionist freddo e distante,"Nessun contatto umano, robot programmato male, nessuna vera accoglienza.",Reception,negative
380,Servizio di sveglia saltato,"Chiesta sveglia per le 6, nessuna chiamata, persa la coincidenza aerea.",Reception,negative
381,Deposito bagagli rifiutato,"Dopo check out non volevano tenere le valigie per poche ore, zero flessibilità.",Reception,negative
382,Check out anticipato negato,"Volevamo partire un giorno prima, hanno comunque addebitato tutto il soggiorno, scorretto.",Reception,negative
383,Reception caotica,"Telefoni che squillano, nessuno che risponde, clienti arrabbiati in coda, gestione pessima.",Reception,negative
384,Prenotazione online rifiutata,"Avevamo prepagato ma dicevano di non avere la prenotazione, difficoltà di risoluzione.",Reception,negative
385,Staff che non conosce i prezzi,"Dicevano cifre diverse per lo stesso servizio, grande confusione organizzativa.",Reception,negative
386,Ragazzo delle valigie assente,"Dovuto portare tutte le valigie in camera da soli, servizio promesso non fornito.",Reception,negative
387,Receptionist supponente,"Guardava dall alto in basso, faceva domande come un esame, atteggiamento offensivo.",Reception,negative
388,Problemi di connessione internet,"WiFi rotto, reception incapace di spiegarci come connettersi alla rete alternativa.",Reception,negative
389,Cambio stanza rifiutato ingiustamente,"Stanza rumorosa, chiesto cambio, rifiutato senza motivo valido, notti insonni.",Reception,negative
390,Errori nelle date,"Ci hanno dato stanza per una sola notte invece di tre, altra lotta per sistemare.",Reception,negative
391,Servizio di concierge inesistente,"Non sapevano prenotare nemmeno un ristorante, zero utilità del servizio reclamizzato.",Reception,negative
392,Reception maleducata con bambini,"Trattavano i piccoli come disturbatori, nessuna empatia familiare, atteggiamento gelido.",Reception,negative
393,Check in rifiutato ingiustamente,"Avevamo prepagato ma discussione su metodo pagamento, imbarazzo e fastidio.",Reception,negative
394,Staff che fa mobbing ai colleghi,"Tra loro si trattavano male davanti a noi, clima di lavoro pessimo e visibile.",Reception,negative
395,Servizio informazioni inutile,"Brochure vecchie di dieci anni, nessun consiglio valido, bisogna arrangiarsi da soli.",Reception,negative
396,Ospiti trattati come bancomat,"Interessano solo i soldi, zero attenzione all ospitalità, fredda meccanicità.",Reception,negative
397,Receptionist che fuma dietro al banco,"Odore di sigaretta alla reception, professionalità zero, non si può nemmeno avvicinarsi.",Reception,negative
398,Problema risolto malamente,"Hanno chiuso l incidente addebitandolo a noi invece di risolvere, totale mancanza di accountability.",Reception,negative
399,Stanza diversa dalla prenotazione,"Prenotato camera con vista mare, assegnata vista parcheggio, senza sostituzione offerta.",Reception,negative
400,Check in oltre mezzanotte,"Camera pronta solo a mezzanotte nonostante arrivo delle 22, stanchi e affamati senza alternative.",Reception,negative
401,Receptionist al cellulare,"Parlava al telefono privato mentre i clienti aspettavano in coda, inaccettabile.",Reception,negative
402,Procedure burocratiche eccessive,"Modulo di dodici pagine con domande inutili, come se fossimo in questura.",Reception,negative
403,Deposito cauzionale esagerato,"Mille euro di cauzione, bloccati sulla carta per giorni dopo la partenza.",Reception,negative
404,Staff che risponde in modo sgarbato ai reclami,"Ogni lamentela accolta con sufficienza, come se fossimo noi il problema.",Reception,negative
405,Mancanza di comunicazione interna,"Cambi di turno senza passaggio consegne, ogni mattina dovevamo ripetere le richieste.",Reception,negative
406,Portineria notturna dormiente,"Bussato alle tre di notte per problema tecnico, portiere scoperto a russare sul divano.",Reception,negative
407,Prezzi del parcheggio a sorpresa,"Non menzionato in prenotazione, al check out venti euro al giorno in più, scorretto.",Reception,negative
408,Sistema prenotazioni confuso,"Hanno cambiato tre volte la stanza in una settimana per errori loro, disagi continui.",Reception,negative
409,Carta di credito addebitata due volte,"Errore amministrativo, soluzione lenta, recuperato il denaro solo dopo reclamo scritto.",Reception,negative
410,Atteggiamento freddo del direttore,"Nessuna empatia davanti a problemi concreti, scudo dietro il regolamento.",Reception,negative
411,Staff ostile verso i reclami legittimi,"Faccia di marmo davanti a problemi reali, zero riconoscimento degli errori dell hotel.",Reception,negative
412,Richiesta di silenzio ignorata,"Vicini rumorosi, reception chiamata tre volte, nessun intervento, notti da incubo.",Reception,negative
413,Check in con attesa in piedi,"Nessun posto dove sedersi durante la coda di trenta minuti, anziani in difficoltà.",Reception,negative
414,Accoglienza per stranieri inadeguata,"Non sanno rispondere a domande su mezzi pubblici e trasporti turistici, zero preparazione.",Reception,negative
415,Informazioni inventate,"Indicato un ristorante inesistente, ci ha fatti perdere un ora cercando l indirizzo.",Reception,negative
416,Reception freddissima al primo arrivo,"Ci siamo sentiti un peso dal primo istante, sensazione sgradevole durata tutto il soggiorno.",Reception,negative
417,Prenotato con la miglior tariffa rifiutata,"Prezzi online diversi da quelli del banco, discussione inutile con manager supponente.",Reception,negative
418,Receptionist dominante,"Comandava i clienti invece di servirli, atteggiamento da caporale anziché accoglienza.",Reception,negative
419,Reception indifferente alle emergenze,"Perso il passaporto, reazione indifferente, dovuti noi chiamare l ambasciata.",Reception,negative
420,Staff che parla male degli ospiti,"Sentito commenti sarcastici sulla nostra stanza, professionalità al minimo storico.",Reception,negative
421,Check out senza ricevuta,"Non volevano fornire ricevuta dettagliata, difficoltà a rimborsare tramite ufficio trasferte.",Reception,negative
422,Colazione abbondante ma fredda,"Grande varietà di proposte e attenzione alle intolleranze, peccato che il buffet fosse tiepido al mattino presto, cornetti raffreddati e caffè quasi freddo.",F&B,negative
423,Cena con luci e ombre,"Antipasti deliziosi e vino ottimo, ma il secondo è arrivato in ritardo e la cottura della carne non era corretta, sopra fatta sotto cruda.",F&B,negative
424,Ottimo chef servizio pessimo,"Piatti davvero ricercati e ben presentati, peccato per camerieri sbrigativi che non sapevano spiegare il menu e sbagliavano gli ordini.",F&B,positive
425,Buffet ricco ma disorganizzato,"Ampia scelta di alimenti e dolci ma gestione caotica, file lunghe e vassoi non sempre rinnovati, peccato perché il cibo c era.",F&B,negative
426,Pizza buona pane scadente,"La pizza napoletana dell hotel era davvero ottima, peccato che il pane servito a cena fosse raffermo e industriale, scelte contrastanti.",F&B,positive
427,Cameriera simpatica piatti tristi,"Signora che lavorava con il sorriso vero, purtroppo i piatti che portava erano freddi e insipidi, peccato per l impegno personale.",F&B,negative
428,Qualità vini alta piatti bassi,"Cantina davvero notevole, sommelier preparato, peccato che la cucina non fosse all altezza, abbinamenti vino ottimi su cibo mediocre.",F&B,negative
429,Chef pasticcere eccellente ma cucina mediocre,"I dolci erano i migliori mai mangiati, ma primi e secondi deludenti, sembrano due ristoranti diversi in uno.",F&B,positive
430,Colazione ricca attesa infinita,"Tantissima scelta al buffet, ma il caffè doveva essere richiesto al tavolo e arrivava dopo venti minuti, esperienza così viziata.",F&B,negative
431,Bella location cibo sotto la media,"Sala ristorante splendida con vista mare ma piatti deludenti, ci si aspetterebbe più attenzione alla qualità vista la cornice.",F&B,negative
432,Buon pesce fresco ma cottura sbagliata,"Materia prima ottima, si vedeva, peccato per chef che l ha cotto troppo rendendolo gommoso, occasione mancata.",F&B,negative
433,Cena creativa con errori,"Idee del menu interessanti e originali, peccato per sapori non sempre bilanciati, alcuni piatti vittime della sperimentazione.",F&B,positive
434,Antipasti squisiti secondi scarsi,"Primissima parte della cena spettacolare, poi calo verticale, come se avessero due cucine diverse.",F&B,positive
435,Ristorante curato prezzi eccessivi,"Ambiente elegante e servizio ok ma conto da capogiro per la qualità offerta, rapporto qualità prezzo inaccettabile.",F&B,negative
436,Carta dei vini eccellente servizio improvvisato,"Bottiglie selezionate con cura ma sommelier inesperto, consigli azzardati e bicchieri sbagliati, qualità vanificata.",F&B,negative
437,Sala bar accogliente cocktail mediocri,"Bar interno molto bello ma barman alle prime armi, drink sbilanciati e presentazione zero, peccato dell ambiente sprecato.",F&B,negative
438,Pane fatto in casa burro industriale,"Pane splendido e fragrante accompagnato da porzioni di burro in bustina da supermercato, incoerenza evidente.",F&B,positive
439,Cucina rapida ma senza cuore,"Piatti che arrivano velocemente ma evidentemente pre-cotti e assemblati al volo, zero cura artigianale.",F&B,negative
440,Sapori buoni servizio freddo,"Cameriere professionale ma glaciale, mai un sorriso, peccato perché in cucina sanno cosa fanno, contrasto evidente.",F&B,positive
441,Ottimo caffè pessima colazione,"L espresso al banco era eccellente, peccato per tutto il resto del buffet che era scadente e vecchio di ore.",F&B,negative
442,Stanza pulita ma asciugamani scarsi,"Bagno sempre splendente ma asciugamani sempre insufficienti per due persone, dovevamo sempre chiederne altri.",Housekeeping,positive
443,Cameriera gentile pulizie approssimative,"La ragazza che puliva era adorabile e sorridente ma le pulizie non erano mai davvero a fondo, angoli e sotto i mobili dimenticati.",Housekeeping,negative
444,Biancheria fresca moquette sporca,"Lenzuola sempre profumate ma moquette evidentemente macchiata da anni, doccia spettacolare ma tappeto vecchio sporco.",Housekeeping,positive
445,Stanza ordinata ma polvere sui mobili,"Tutto in ordine ogni giorno ma spolverata frettolosa, superfici alte coperte di polvere visibile, cura parziale.",Housekeeping,negative
446,Pulizia ok ma bagno con muffa,"Stanza in ordine tutti i giorni ma angoli del bagno con muffa evidente, problema strutturale che nessuno affronta.",Housekeeping,negative
447,Cambio biancheria puntuale cuscini sporchi,"Lenzuola cambiate come d accordo ma sotto le federe i cuscini erano macchiati, pulizia a metà.",Housekeeping,negative
448,Servizio ai piani rapido ma superficiale,"Cameriera efficiente nei tempi ma pulizia solo superficiale, giustificato dall orario ma non dall assenza di qualità.",Housekeeping,negative
449,Pulizie buone ma odore di chiuso,"Stanze tenute pulite ma evidentemente mai aerate, rimaneva un odore che nessun detergente riusciva a coprire.",Housekeeping,negative
450,Bagno profumato asciugamani ruvidi,"Sanitari splendenti e pulizia ok ma asciugamani come carta vetrata, lavati con prodotti scadenti, sensazione sulla pelle terribile.",Housekeeping,negative
451,Governante simpatica stanza non perfetta,"La signora che si occupava del piano era adorabile ma la pulizia della stanza lasciava a desiderare nei dettagli, intenzioni buone risultato mediocre.",Housekeeping,negative
452,Ordine al rientro ma finestre mai pulite,"Tutto sempre in ordine ma vetri visibilmente sporchi e mai lavati durante il soggiorno, dettaglio tralasciato.",Housekeeping,negative
453,Stanza spolverata ma letto sgualcito,"Ripiani puliti ma il letto veniva rifatto male, coperte storte, come fatto da chi non ci credeva veramente.",Housekeeping,negative
454,Cameriera silenziosa ma pulizie saltate,"Ragazza discreta e gentile ma per due giorni non è proprio venuta, stanza sporca sporca in accumulo.",Housekeeping,negative
455,Asciugamani ok ma lenzuola macchiate,"Bagno rifornito ma nel letto abbiamo trovato macchie gialle sospette, standard di cambio biancheria non rispettato.",Housekeeping,negative
456,Pulizie regolari ma nulla di extra,"Fanno il minimo indispensabile ma con costanza, niente cura del dettaglio, ma nemmeno disastri visibili, servizio medio.",Housekeeping,positive
457,Stanza fresca ma bagno non disinfettato,"Ambiente generale pulito ma fughe delle piastrelle in bagno nere, disinfezione profonda mai eseguita davvero.",Housekeeping,negative
458,Ordine in superficie sporcizia in profondità,"Aperti i cassetti del comodino, erano pieni di briciole e polvere vecchia, evidenti lacune nella pulizia approfondita.",Housekeeping,negative
459,Pulizia degli spazi buona bagno male,"Stanza principale impeccabile ma bagno trascurato, come se due persone diverse se ne occupassero e una facesse male il suo lavoro.",Housekeeping,negative
460,Cameriera solare pulizia pigra,"Sempre un sorriso ma lavoro non fatto come si deve, peccato perché l umanità c era ma la professionalità poco.",Housekeeping,negative
461,Stanza in ordine ma odore sospetto,"Apparentemente pulito ma c era un odore difficile da definire che persisteva, forse dai condotti dell aria.",Housekeeping,negative
462,Check in lento ma staff gentile,"Attesa di quasi un ora al banco ma il personale è stato sempre sorridente e apologetico, umanità ma inefficienza.",Reception,negative
463,Reception bella ma personale inesperto,Banco reception di design con divani comodi ma ragazzi appena assunti che non sapevano rispondere a domande base.,Reception,negative
464,Informazioni dettagliate ma cortesia zero,"Ci hanno dato mappe e consigli precisi ma con tono freddo e distaccato, contenuti ottimi esperienza umana pessima.",Reception,negative
465,Check in veloce ma errori sul conto,"Assegnazione stanza in tempi record ma alla fine sorprese sul totale da pagare, fretta a scapito della precisione.",Reception,negative
466,Personale multilingue ma scortese,"Parlavano inglese francese e tedesco perfettamente ma con pazienza pari a zero, competenza linguistica senza competenza umana.",Reception,negative
467,Reception sempre aperta ma mai efficace,"Presidio 24 ore ma ogni richiesta trovava risposte contraddittorie, disponibilità senza competenza.",Reception,negative
